yr,len
1950,82.6
1951,112.8
1952,104.8
1953,234.7
1954,139.9
1955,112.8
1956,147.7
1957,121.4
1958,95.5
1959,48.7
1960,101.9
1961,156.3
1962,71.7
1963,85.8
1964,79.7
1965,176.4
1966,202.5
1967,88.3
1968,140.4
1969,217.8
1970,170.5
1971,202.1
1972,81.5
1973,169.7
1974,110.6
1975,168.5
1976,126.5
1977,117.2
1978,61.1
1979,74.1
1980,99.8
1981,103.5
1982,88.0
1983,52.5
1984,134.0
1985,69.0
1986,52.5
1987,71.0
1988,83.0
1989,66.0
1990,131.0
1991,67.0
1992,160.0
1993,75.0
1994,50.0
1995,57.0
1996,52.0
1997,30.0
1998,73.5
1999,71.5
2000,43.2
2001,76.5
2002,112.0
2003,86.0
2004,80.0
2005,44.0
2006,77.0
2007,54.97
2008,121.84
2009,37.18
2010,148.97
2011,132.0
2012,84.99
2013,66.35
2014,45.68
2015,75.09
2016,30.34
2017,82.53
2018,47.0
2019,68.04
2020,83.22
2021,168.53
2022,70.57
2023,125.76
